,rank,hs_location,recruit_year,state,region,draft_pick,draft_year,drafted
Percy Harvin,2," Landstown (Virginia Beach, VA)  ",2006,VA,East,22.0,2009.0,1
Vidal Hazelton,3," Hargrave Military Academy (HS) (Chatham, VA)  ",2006,VA,East,,,0
Sergio Kindle,4," Woodrow Wilson (Dallas, TX)  ",2006,TX,Southwest,43.0,2010.0,1
Myron Rolle,5," Hun School  (Princeton, NJ)  ",2006,NJ,East,207.0,2010.0,1
Matthew Stafford,6," Highland Park (Dallas, TX)  ",2006,TX,Southwest,1.0,2009.0,1
Mitch Mustain,7," Springdale (Springdale, AR)  ",2006,AR,Southeast,,,0
Sam Young,8," St. Thomas Aquinas (Fort Lauderdale, FL)  ",2006,FL,Southeast,179.0,2010.0,1
Beanie Wells,9," Garfield (Akron, OH)  ",2006,OH,Midwest,,,0
Stafon Johnson,10," Dorsey (Los Angeles, CA)  ",2006,CA,West,,,0
Taylor Mays,11," O'Dea (Seattle, WA)  ",2006,WA,West,49.0,2010.0,1
Al Woods,12," Elton (Elton, LA)  ",2006,LA,Southeast,123.0,2010.0,1
Micah Johnson,13," Fort Campbell (Fort Campbell, KY)  ",2006,KY,Southeast,,,0
Gerald McCoy,14," Southeast Hs (Oklahoma City, OK)  ",2006,OK,Southwest,3.0,2010.0,1
Brandon Graham,15," Crockett  (Detroit, MI)  ",2006,MI,Midwest,13.0,2010.0,1
Allen Bradford,16," Colton (Colton, CA)  ",2006,CA,West,187.0,2011.0,1
Tim Tebow,17," Ponte Vedra (Ponte Vedra Beach, FL)  ",2006,FL,Southeast,25.0,2010.0,1
Eddie Jones,18," Kilgore (Kilgore, TX)  ",2006,TX,Southwest,,,0
C.J. Spiller,19," Union County (Lake Butler, FL)  ",2006,FL,Southeast,9.0,2010.0,1
DeMarco Murray,20," Bishop Gorman (Las Vegas, NV)  ",2006,NV,West,71.0,2011.0,1
Antwine Perez,21," Camden (Camden, NJ)  ",2006,NJ,East,,,0
Carl Johnson,22," Southern (Durham, NC)  ",2006,NC,East,,,0
Mike Goodson,23," Klein Collins (Spring, TX)  ",2006,TX,Southwest,111.0,2009.0,1
C.J. Gable,24," Sylmar (Sylmar, CA)  ",2006,CA,West,,,0
James Aldridge,25," Crown Point (Crown Point, IN)  ",2006,IN,Midwest,,,0
Ricky Sapp,26," Bamberg Ehrhardt (Bamberg, SC)  ",2006,SC,Southeast,134.0,2010.0,1
LeSean McCoy,27," Bishop McDevitt (Harrisburg, PA)  ",2006,PA,Midwest,53.0,2009.0,1
Maurice Evans,28," Christ The King Regional (Middle Village, NY)  ",2006,NY,East,,,0
Marcus Ball,29," Stone Mountain (Stone Mountain, GA)  ",2006,GA,Southeast,,,0
Robert Rose,30," Glenville (Cleveland, OH)  ",2006,OH,Midwest,,,0
J'Marcus Webb,31," North Mesquite (Mesquite, TX)  ",2006,TX,Southwest,218.0,2010.0,1
Jevan Snead,32," Stephenville (Stephenville, TX)  ",2006,TX,Southwest,,,0
Brandon Spikes,33," Crest (Shelby, NC)  ",2006,NC,East,62.0,2010.0,1
Akeem Hebron,34," Good Counsel (Milledgeville, GA)  ",2006,GA,Southeast,,,0
Keiland Williams,35," Hargrave Military Academy (HS) (Chatham, VA)  ",2006,VA,East,,,0
David Ausberry,36," Lemoore (Lemoore, CA)  ",2006,CA,West,241.0,2011.0,1
Connor Smith,37," Colerain (Cincinnati, OH)  ",2006,OH,Midwest,,,0
Konrad Reuland,38," Mission Viejo (Mission Viejo, CA)  ",2006,CA,West,,,0
Adron Tennell,39," Irving (Irving, TX)  ",2006,TX,Southwest,,,0
Allen Walker,40," Olive Branch (Olive Branch, MS)  ",2006,MS,Southeast,,,0
Joshua Tatum,41," McClymonds High (Oakland, CA)  ",2006,CA,West,,,0
Justin Boren,42," Pickerington Central (Pickerington, OH)  ",2006,OH,Midwest,,,0
Stephen Schilling,43," Academic Institute (Bellevue, WA)  ",2006,WA,West,201.0,2011.0,1
Emmanuel Moody,44," Coppell (Coppell, TX)  ",2006,TX,Southwest,,,0
A.J. Wallace,45," Maurice J. McDonough (Pomfret, MD)  ",2006,MD,East,,,0
Devin Ross,46," Rancho Cucamonga (Rancho Cucamonga, CA)  ",2006,CA,West,,,0
Dorin Dickerson,47," West Allegheny (Imperial, PA)  ",2006,PA,Midwest,227.0,2010.0,1
Jake Locker,48," Ferndale (Ferndale, WA)  ",2006,WA,West,8.0,2011.0,1
Butch Lewis,49," Regis Jesuit (Aurora, CO)  ",2006,CO,West,,,0
Raeshon McNeil,50," Davie County (Mocksville, NC)  ",2006,NC,East,,,0
Joe McKnight,1," John Curtis (New Orleans, LA)  ",2007,LA,Southeast,112.0,2010.0,1
Jimmy Clausen,2," Oaks Christian (Thousand Oaks, CA)  ",2007,CA,West,48.0,2010.0,1
Eric Berry,3," Creekside (Fairburn, GA)  ",2007,GA,Southeast,5.0,2010.0,1
Marvin Austin,4," Ballou (Washington, DC)  ",2007,DC,East,52.0,2011.0,1
Ryan Mallett,5," Texas High (Texarkana, TX)  ",2007,TX,Southwest,74.0,2011.0,1
Chris Galippo,6," Servite (Anaheim, CA)  ",2007,CA,West,,,0
Marc Tyler,7," Oaks Christian (Thousand Oaks, CA)  ",2007,CA,West,,,0
Terrance Toliver,8," Hempstead (Hempstead, TX)  ",2007,TX,Southwest,,,0
Noel Devine,9," North Fort Myers (North Fort Myers, FL)  ",2007,FL,Southeast,,,0
Everson Griffen,10," Agua Fria (Avondale, AZ)  ",2007,AZ,West,100.0,2010.0,1
Tray Allen,11," South Grand Prairie (Grand Prairie, TX)  ",2007,TX,Southwest,,,0
Arrelious Benn,12," Dunbar (Washington, DC)  ",2007,DC,East,39.0,2010.0,1
Carlos Dunlap,13," Fort Dorchester (North Charleston, SC)  ",2007,SC,Southeast,54.0,2010.0,1
Josh Oglesby,14," Saint Francis (Milwaukee, WI)  ",2007,WI,Midwest,,,0
Martez Wilson,15," Simeon (Chicago, IL)  ",2007,IL,Midwest,72.0,2011.0,1
Ronald Johnson,16," Muskegon (Muskegon, MI)  ",2007,MI,Midwest,182.0,2011.0,1
Tyrod Taylor,17," Hampton (Hampton, VA)  ",2007,VA,East,180.0,2011.0,1
James Wilson,18," Nease (Ponte Vedra Beach, FL)  ",2007,FL,Southeast,,,0
Aaron  Corp,19," Orange Lutheran (Orange, CA)  ",2007,CA,West,,,0
John Chiles,20," Mansfield (Mansfield, TX)  ",2007,TX,Southwest,,,0
Deonte Thompson,21," Glades Central (Belle Glade, FL)  ",2007,FL,Southeast,,,0
Torrey Davis,22," Armwood (Seffner, FL)  ",2007,FL,Southeast,,,0
Ben Martin,23," La Salle (Cincinnati, OH)  ",2007,OH,Midwest,,,0
Ryan Miller,24," Columbine (Littleton, CO)  ",2007,CO,West,160.0,2012.0,1
Eugene Clifford,25," Colerain (Cincinnati, OH)  ",2007,OH,Midwest,,,0
John Brantley,26," Trinity Catholic (Ocala, FL)  ",2007,FL,Southeast,,,0
Duval Kamara,27," Hoboken (Hoboken, NJ)  ",2007,NJ,East,,,0
Donovan Warren,28," Polytechnic (Long Beach, CA)  ",2007,CA,West,,,0
Jerimy Finch,29," Warren Central (Indianapolis, IN)  ",2007,IN,Midwest,,,0
Austin Box,30," Enid Hs (Enid, OK)  ",2007,OK,Southwest,,,0
Marshall Jones,31," Oaks Christian (Westlake Village, CA)  ",2007,CA,West,,,0
Caleb King,32," Greater Atlanta Christian School (Norcross, GA)  ",2007,GA,Southeast,,,0
Aaron Hernandez,33," Bristol Central (Bristol, CT)  ",2007,CT,East,113.0,2010.0,1
DeAngelo Benton,34," Bastrop (Bastrop, LA)  ",2007,LA,Southeast,,,0
Cliff Matthews,35," Cheraw (Cheraw, SC)  ",2007,SC,Southeast,230.0,2011.0,1
Allen Bailey,36," Mcintosh County Academy (Darien, GA)  ",2007,GA,Southeast,86.0,2011.0,1
Chris Donald,37," Huntingdon (Huntingdon, TN)  ",2007,TN,Southeast,,,0
Gary Gray,38," Richland Northeast (Columbia, SC)  ",2007,SC,Southeast,,,0
Chris Rainey,39," Lakeland  (Lakeland, FL)  ",2007,FL,Southeast,159.0,2012.0,1
Richetti Jones,40," Lincoln (Dallas, TX)  ",2007,TX,Southwest,,,0
Dez Bryant,41," Lufkin (Lufkin, TX)  ",2007,TX,Southwest,24.0,2010.0,1
Kristofer O'Dowd,42," Salpointe Catholic (Tucson, AZ)  ",2007,AZ,West,,,0
Lee Ziemba,43," Rogers (Rogers, AR)  ",2007,AR,Southeast,244.0,2011.0,1
Major Wright,44," St. Thomas Aquinas (Fort Lauderdale, FL)  ",2007,FL,Southeast,75.0,2010.0,1
Dionte Allen,45," St. Mary's (West Bloomfield, MI)  ",2007,MI,Midwest,,,0
Lennon Creer,46," Lawrence Free State (Tatum, TX)  ",2007,TX,Southwest,,,0
Martin Coleman,47," Edison (Huntington Beach, CA)  ",2007,CA,West,,,0
Mike Ragone,48," Camden Catholic (Cherry Hill, NJ)  ",2007,NJ,East,,,0
DaJohn Harris,49," Junipero Serra (Gardena, CA)  ",2007,CA,West,,,0
Anthony Davis,50," Piscataway Twp (Piscataway, NJ)  ",2007,NJ,East,11.0,2010.0,1
Da'Quan Bowers,1," Bamberg Ehrhardt (Bamberg, SC)  ",2008,SC,Southeast,51.0,2011.0,1
Terrelle Pryor,2," Jeannette (Jeannette, PA)  ",2008,PA,Midwest,,,0
Julio Jones,3," Foley  (Foley, AL)  ",2008,AL,Southeast,6.0,2011.0,1
Darrell Scott,4," St. Bonaventure (Ventura, CA)  ",2008,CA,West,,,0
Will Hill,5," St. Peters Prep (Jersey City, NJ)  ",2008,NJ,East,,,0
Patrick Peterson,6," Blanche Ely (Pompano Beach, FL)  ",2008,FL,Southeast,5.0,2011.0,1
A.J. Green,7," Summerville (Summerville, SC)  ",2008,SC,Southeast,4.0,2011.0,1
Arthur Brown,8," East (Wichita, KS)  ",2008,KS,Southwest,56.0,2013.0,1
Jermie Calhoun,9," Van Horn (Van Horn, TX)  ",2008,TX,Southwest,,,0
R.J. Washington,10," Fossil Ridge (Keller, TX)  ",2008,TX,Southwest,,,0
Marcus Forston,11," Northwestern (Miami, FL)  ",2008,FL,Southeast,,,0
DeAndre Brown,12," Ocean Springs (Pascagoula, MS)  ",2008,MS,Southeast,,,0
Jonathan Baldwin,13," Aliquippa (Aliquippa, PA)  ",2008,PA,Midwest,26.0,2011.0,1
Michael Floyd,14," Cretin Derham Hall (Saint Paul, MN)  ",2008,MN,Midwest,13.0,2012.0,1
Blake Ayles,15," Orange Lutheran (Orange, CA)  ",2008,CA,West,,,0
Michael Brewster,16," Edgewater (Orlando, FL)  ",2008,FL,Southeast,,,0
Omar Hunter,17," Buford (Buford, GA)  ",2008,GA,Southeast,,,0
Richard Samuel,18," Cass (Cartersville, GA)  ",2008,GA,Southeast,,,0
Dayne Crist,19," Notre Dame (Sherman Oaks, CA)  ",2008,CA,West,,,0
Nigel Bradham,20," Wakulla (Crawfordville, FL)  ",2008,FL,Southeast,105.0,2012.0,1
Tyler Love,21," Mountain Brook (Birmingham, AL)  ",2008,AL,Southeast,,,0
Matt Kalil,22," Servite (Anaheim, CA)  ",2008,CA,West,4.0,2012.0,1
Mike Adams,23," Dublin Coffman (Dublin, OH)  ",2008,OH,Midwest,56.0,2012.0,1
Etienne Sabino,24," Dr Michael M. Krop (Miami, FL)  ",2008,FL,Southeast,,,0
Brandon Harris,25," Booker T. Washington (Miami, FL)  ",2008,FL,Southeast,60.0,2011.0,1
B.J. Scott,26," Vigor (Mobile, AL)  ",2008,AL,Southeast,,,0
EJ Manuel,27," Bayside (Virginia Beach, VA)  ",2008,VA,East,16.0,2013.0,1
DeAngelo Tyson,28," Statesboro (Statesboro, GA)  ",2008,GA,Southeast,236.0,2012.0,1
Kyle Rudolph,29," Elder (Cincinnati, OH)  ",2008,OH,Midwest,43.0,2011.0,1
Aldarius Johnson,30," Northwestern (Miami, FL)  ",2008,FL,Southeast,,,0
Kavario Middleton,31," Lakes (Lakewood, WA)  ",2008,WA,West,,,0
Tyron Smith,32," Rancho Verde (Moreno Valley, CA)  ",2008,CA,West,9.0,2011.0,1
Matt Patchan,33," Armwood (Seffner, FL)  ",2008,FL,Southeast,,,0
Blaine Gabbert,34," West (Ballwin, MO)  ",2008,MO,Southeast,10.0,2011.0,1
Ethan Johnson,35," Lincoln (Portland, OR)  ",2008,OR,West,,,0
Dan Buckner,36," Allen (Allen, TX)  ",2008,TX,Southwest,,,0
Baker Steinkuhler,37," Southwest (Lincoln, NE)  ",2008,NE,Midwest,,,0
T.J. Bryant,38," Lincoln (Tallahassee, FL)  ",2008,FL,Southeast,,,0
Ryan Williams,39," Stonewall Jackson (Manassas, VA)  ",2008,VA,East,38.0,2011.0,1
Jamie Harper,40," Trinity Christian Academy (Jacksonville, FL)  ",2008,FL,Southeast,130.0,2011.0,1
Joshua Jarboe,41," Cedar Grove (Ellenwood, GA)  ",2008,GA,Southeast,,,0
Stephen  Good,42," Paris (Paris, TX)  ",2008,TX,Southwest,,,0
Andrew Luck,43," Stratford (Houston, TX)  ",2008,TX,Southwest,1.0,2012.0,1
J.B. Shugarts,44," Klein (Spring, TX)  ",2008,TX,Southwest,,,0
Brice Butler,45," Norcross (Norcross, GA)  ",2008,GA,Southeast,209.0,2013.0,1
Mike Glennon,46," Westfield (Chantilly, VA)  ",2008,VA,East,73.0,2013.0,1
Ramon Buchanan,47," Palm Bay Senior (Melbourne, FL)  ",2008,FL,Southeast,,,0
Darryl Stonum,48," Dulles (Sugar Land, TX)  ",2008,TX,Southwest,,,0
Lucas Nix,49," Thomas Jefferson (Jefferson, PA)  ",2008,PA,Midwest,,,0
D.J.  Shoemate,50," Servite (Anaheim, CA)  ",2008,CA,West,,,0
Matt Barkley,1," Mater Dei (Newport Beach, CA)  ",2009,CA,West,98.0,2013.0,1
Bryce Brown,2," East (Wichita, KS)  ",2009,KS,Southwest,229.0,2012.0,1
Russell Shepard,3," Cypress Ridge (Houston, TX)  ",2009,TX,Southwest,,,0
Manti Te'o,4," Punahou (Honolulu, HI)  ",2009,HI,Pacific,38.0,2013.0,1
Jacobbi McDaniel,5," Madison County (Greenville, FL)  ",2009,FL,Southeast,,,0
Trent Richardson,6," Escambia (Pensacola, FL)  ",2009,FL,Southeast,3.0,2012.0,1
Jelani Jenkins,7," Our Lady Of Mt Carmel Hi (Essex, MD)  ",2009,MD,East,104.0,2013.0,1
Rueben Randle,8," Bastrop (Bastrop, LA)  ",2009,LA,Southeast,63.0,2012.0,1
Craig Loston,9," Aldine Eisenhower (Houston, TX)  ",2009,TX,Southwest,,,0
Vontaze Burfict,10," Centennial (Corona, CA)  ",2009,CA,West,,,0
Gary Brown,11," West Gadsden (Greenville, FL)  ",2009,FL,Southeast,,,0
Devon Kennard,12," Desert Vista (Phoenix, AZ)  ",2009,AZ,West,174.0,2014.0,1
Dre Kirkpatrick,13," Gadsden City (Gadsden, AL)  ",2009,AL,Southeast,17.0,2012.0,1
Garrett Gilbert,14," Lake Travis (Austin, TX)  ",2009,TX,Southwest,214.0,2014.0,1
Andre Debose,15," Seminole (Sanford, FL)  ",2009,FL,Southeast,221.0,2015.0,1
Mason Walters,16," Frenship (Wolfforth, TX)  ",2009,TX,Southwest,,,0
Nico Johnson,17," Andalusia Sch (Andalusia, AL)  ",2009,AL,Southeast,99.0,2013.0,1
Aaron Murray,18," Plant (Tampa, FL)  ",2009,FL,Southeast,163.0,2014.0,1
Branden Smith,19," Washington (Atlanta, GA)  ",2009,GA,Southeast,,,0
Dorian Bell,20," Gateway (Monroeville, PA)  ",2009,PA,Midwest,,,0
Xavier Nixon,21," Jack Britt (Fayetteville, NC)  ",2009,NC,East,,,0
Christine Michael,22," West Brook (Beaumont, TX)  ",2009,TX,Southwest,62.0,2013.0,1
Greg Reid,23," Lowndes (Valdosta, GA)  ",2009,GA,Southeast,,,0
Darius Winston,24," Helena-West Helena Central (West Helena, AR)  ",2009,AR,Southeast,,,0
Jamarkus McFarland,25," Lufkin (Lufkin, TX)  ",2009,TX,Southwest,,,0
Marlon Brown,26," Harding Academy of Memphis (Memphis, TN)  ",2009,TN,Southeast,,,0
Donte Moss,27," Northside (Jacksonville, NC)  ",2009,NC,East,,,0
D.J. Fluker,28," Foley  (Foley, AL)  ",2009,AL,Southeast,11.0,2013.0,1
Chris Davenport,29," Mansfield (Mansfield, LA)  ",2009,LA,Southeast,,,0
Sheldon Richardson,30," Gateway (Visalia, CA)  ",2009,CA,West,13.0,2013.0,1
Tajh Boyd,31," Phoebus (Hampton, VA)  ",2009,VA,East,213.0,2014.0,1
T.J. McDonald,32," Edison (Fresno, CA)  ",2009,CA,West,71.0,2013.0,1
Gabe Lynn,33," Booker T. Washington (Tulsa, OK)  ",2009,OK,Southwest,,,0
Stephon Gilmore,34," South Pointe (Rock Hill, SC)  ",2009,SC,Southeast,10.0,2012.0,1
Jaamal Berry,35," Miami Palmetto (Miami, FL)  ",2009,FL,Southeast,,,0
Morrell Presley,36," Carson Senior (Carson, CA)  ",2009,CA,West,,,0
Ronnell Lewis,37," Dewar Hs (Eufaula, OK)  ",2009,OK,Southwest,125.0,2012.0,1
Eric Shrive,38," West Scranton Hs (Scranton, PA)  ",2009,PA,Midwest,,,0
Jheranie Boyd,39," Ashbrook (Gastonia, NC)  ",2009,NC,East,,,0
Chris Watt,40," Glenbard West (Glen Ellyn, IL)  ",2009,IL,Midwest,89.0,2014.0,1
Xavier Su'a-Filo,41," Timpview (Provo, UT)  ",2009,UT,West,33.0,2014.0,1
Alex Okafor,42," Pflugerville (Pflugerville, TX)  ",2009,TX,Southwest,103.0,2013.0,1
Patrick Hall,43," St. Bonaventure (Ventura, CA)  ",2009,CA,West,,,0
Corey Adams,44," Saguaro (Scottsdale, AZ)  ",2009,AZ,West,,,0
Kevin Graf,45," Agoura (Agoura Hills, CA)  ",2009,CA,West,,,0
Michael Ford,46," Leesville (Leesville, LA)  ",2009,LA,Southeast,,,0
Sam Montgomery,47," Greenwood (Greenwood, SC)  ",2009,SC,Southeast,95.0,2013.0,1
Demonte McAllister,48," Alonso (Tampa, FL)  ",2009,FL,Southeast,,,0
Jarvis Jones,49," Carver (Columbus, GA)  ",2009,GA,Southeast,17.0,2013.0,1
Patrick Patterson,50," Noxubee County (Macon, MS)  ",2009,MS,Southeast,,,0
Ronald Powell,1," Rancho Verde (Moreno Valley, CA)  ",2010,CA,West,169.0,2014.0,1
Seantrel Henderson,2," Cretin Derham Hall (Saint Paul, MN)  ",2010,MN,Midwest,237.0,2014.0,1
Robert Woods,3," Junipero Serra (Gardena, CA)  ",2010,CA,West,41.0,2013.0,1
Dominique Easley,4," Curtis (Staten Island, NY)  ",2010,NY,East,29.0,2014.0,1
Jackson Jeffcoat,5," Plano West (Plano, TX)  ",2010,TX,Southwest,,,0
Sharrif Floyd,6," George Washington (Philadelphia, PA)  ",2010,PA,Midwest,23.0,2013.0,1
Jordan Hicks,7," Lakota West (West Chester, OH)  ",2010,OH,Midwest,84.0,2015.0,1
Michael Dyer,8," Little Rock Christian Academy (Little Rock, AR)  ",2010,AR,Southeast,,,0
Marcus Lattimore,9," Byrnes (Duncan, SC)  ",2010,SC,Southeast,131.0,2013.0,1
Keenan Allen,10," Northern Guilford (Greensboro, NC)  ",2010,NC,East,76.0,2013.0,1
Kyle Prater,11," Proviso West (Hillside, IL)  ",2010,IL,Midwest,,,0
Lamarcus Joyner,12," St. Thomas Aquinas (Miami, FL)  ",2010,FL,Southeast,41.0,2014.0,1
Mike Davis,13," Skyline (Dallas, TX)  ",2010,TX,Southwest,126.0,2015.0,1
Dee Milliner,14," Stanhope Elmore (Millbrook, AL)  ",2010,AL,Southeast,9.0,2013.0,1
Matt Elam,15," Dwyer (Palm Beach Gardens, FL)  ",2010,FL,Southeast,32.0,2013.0,1
Da'Rick Rogers,16," Calhoun (Calhoun, GA)  ",2010,GA,Southeast,,,0
Owamagbe Odighizuwa,17," Douglas (Portland, OR)  ",2010,OR,West,,,0
William Gholston,18," Southeastern (Detroit, MI)  ",2010,MI,Midwest,126.0,2013.0,1
Alec Ogletree,19," Newnan (Newnan, GA)  ",2010,GA,Southeast,30.0,2013.0,1
Xavier Grimble,20," Bishop Gorman (Las Vegas, NV)  ",2010,NV,West,,,0
Christian Jones,21," Lake Howell (Winter Park, FL)  ",2010,FL,Southeast,,,0
Josh Shaw,22," Palmdale (Palmdale, CA)  ",2010,CA,West,120.0,2015.0,1
Trovon Reed,23," Thibodaux (Thibodaux, LA)  ",2010,LA,Southeast,,,0
George Uko,24," Don Lugo (Chino, CA)  ",2010,CA,West,,,0
Reggie Wilson,25," Haltom (Fort Worth, TX)  ",2010,TX,Southwest,,,0
Jeff Luc,26," Treasure Coast (Port Saint Lucie, FL)  ",2010,FL,Southeast,,,0
Darius White,27," Dunbar (Fort Worth, TX)  ",2010,TX,Southwest,,,0
Ja'Wuan James,28," North Gwinnett (Suwanee, GA)  ",2010,GA,Southeast,19.0,2014.0,1
Phillip Sims,29," Oscar Smith (Chesapeake, VA)  ",2010,VA,East,,,0
Robert Crisp,30," Cedar Ridge (Hillsborough, NC)  ",2010,NC,East,,,0
Lache Seastrunk,31," Temple (Temple, TX)  ",2010,TX,Southwest,186.0,2014.0,1
Dillon Baxter,32," Mission Bay (San Diego, CA)  ",2010,CA,West,,,0
Justin Hunter,33," Ocean Lakes (Virginia Beach, VA)  ",2010,VA,East,34.0,2013.0,1
Christian Green,34," Tampa Catholic (Tampa, FL)  ",2010,FL,Southeast,,,0
John Fulton,35," Manning  (Manning, SC)  ",2010,SC,Southeast,,,0
Chris Dunkley,36," Pahokee (Pahokee, FL)  ",2010,FL,Southeast,,,0
James Hurst,37," Plainfield (Plainfield, IN)  ",2010,IN,Midwest,,,0
Jake Matthews,38," Elkins (Missouri City, TX)  ",2010,TX,Southwest,6.0,2014.0,1
Jaylen Watkins,39," Cape Coral (Cape Coral, FL)  ",2010,FL,Southeast,101.0,2014.0,1
Markeith Ambles,40," Henry County (McDonough, GA)  ",2010,GA,Southeast,,,0
Tony Jefferson,41," Eastlake (Chula Vista, CA)  ",2010,CA,West,,,0
Chaz Green,42," Tampa Catholic (Tampa, FL)  ",2010,FL,Southeast,91.0,2015.0,1
Chris Martin,43," Grandview (Aurora, CO)  ",2010,CO,West,,,0
Rod Smith,44," Paul Harding (Fort Wayne, IN)  ",2010,IN,Midwest,,,0
Demarco Cobbs,45," Central (Tulsa, OK)  ",2010,OK,Southwest,,,0
Jordon James,46," Corona (Corona, CA)  ",2010,CA,West,,,0
Malcolm Jones,47," Oaks Christian (Thousand Oaks, CA)  ",2010,CA,West,,,0
D.J. Morgan,48," Taft  (Woodland Hills, CA)  ",2010,CA,West,,,0
Jonathan Dowling,49," Southeast (Bradenton, FL)  ",2010,FL,Southeast,247.0,2014.0,1
Gerald Christian,50," Dwyer (Palm Beach Gardens, FL)  ",2010,FL,Southeast,256.0,2015.0,1
